Player,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed (mph),Avg Speed Off,Avg Speed Def,Dist. KM,Dist. KM Off,Dist. KM Def,Avg Speed (km/h),Avg Speed (km/h) Off,Avg Speed (km/h) Def,AGE,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,"OPP PTS, PAINT",DEF WS,WS,OWS,DWS,Distance KM PER36,Distance KM PER36 Off,Distance KM PER36 Def
Toumani Camara,POR,78,33,45,32.7,14039.4,2.66,1.34,1.32,4.57,4.66,4.49,4.28,2.16,2.12,7.35,7.5,7.23,25,113.3,3.6,11.0,16.9,1.5,26.5,0.6,18.7,13.6,10.0,12.2,32.4,0.088,5.2,2.5,2.6,4.71,2.38,2.33
Keegan Murray,SAC,76,36,40,34.3,14253.1,2.7,1.4,1.3,4.41,4.67,4.17,4.35,2.25,2.09,7.1,7.52,6.71,24,113.4,4.8,13.4,19.4,0.8,15.8,0.9,29.5,11.5,9.6,8.9,33.2,0.094,4.4,2.4,2.1,4.57,2.36,2.19
Dyson Daniels,ATL,76,37,39,33.8,14263.0,2.7,1.42,1.29,4.49,4.95,4.07,4.35,2.29,2.08,7.23,7.97,6.55,22,114.2,4.3,12.7,18.9,3.0,41.0,0.7,20.1,14.1,9.2,11.8,36.4,0.083,5.0,1.3,3.7,4.63,2.44,2.22
Mikal Bridges,NYK,82,51,31,37.0,14878.1,2.82,1.54,1.28,4.3,4.51,4.08,4.54,2.48,2.06,6.92,7.26,6.57,28,112.9,2.3,6.3,9.5,0.9,14.7,0.5,17.6,11.9,9.8,11.4,38.7,0.106,5.7,3.7,2.0,4.42,2.41,2.0
De'Aaron Fox,SAS,62,27,35,36.1,14513.2,2.75,1.48,1.27,4.25,4.75,3.78,4.43,2.38,2.04,6.84,7.64,6.08,27,114.9,3.9,10.6,16.1,1.5,25.1,0.4,12.4,11.7,11.0,9.3,35.9,0.083,4.3,2.6,1.7,4.42,2.37,2.03
Tyler Herro,MIA,77,37,40,35.4,14659.7,2.78,1.54,1.24,4.4,4.85,3.94,4.47,2.48,2.0,7.08,7.81,6.34,25,112.6,4.7,13.2,19.5,0.9,15.1,0.2,7.7,12.2,9.6,10.8,36.2,0.103,7.4,4.7,2.7,4.55,2.52,2.03
Kelly Oubre Jr.,PHI,60,21,39,34.6,13753.1,2.6,1.37,1.24,4.19,4.33,4.06,4.18,2.2,2.0,6.74,6.97,6.53,29,116.4,4.5,14.0,21.9,1.5,21.4,0.5,16.8,12.2,9.9,11.7,36.2,0.064,2.6,1.2,1.4,4.35,2.29,2.08
Domantas Sabonis,SAC,70,36,34,34.7,13694.0,2.59,1.36,1.23,4.2,4.51,3.92,4.17,2.19,1.98,6.76,7.26,6.31,29,113.9,10.1,28.6,41.5,0.7,12.5,0.4,12.9,11.8,9.2,9.3,33.8,0.089,10.1,7.4,2.7,4.33,2.27,2.05
Christian Braun,DEN,79,48,31,33.9,13713.5,2.6,1.37,1.23,4.35,4.72,3.99,4.18,2.2,1.98,7.0,7.6,6.42,24,114.5,3.9,10.9,16.4,1.1,19.0,0.5,14.9,11.6,10.5,10.9,36.5,0.081,8.0,6.2,1.9,4.44,2.34,2.1
Josh Hart,NYK,77,48,29,37.6,14470.8,2.74,1.51,1.23,4.11,4.37,3.84,4.41,2.43,1.98,6.61,7.03,6.18,30,114.3,7.5,20.3,30.3,1.5,24.8,0.4,12.3,11.7,9.9,11.5,38.8,0.091,9.2,5.4,3.8,4.22,2.33,1.9
Tyrese Maxey,PHI,52,20,32,37.7,15273.3,2.89,1.66,1.23,4.28,4.76,3.76,4.65,2.67,1.98,6.89,7.66,6.05,24,117.4,3.1,8.7,13.8,1.8,22.8,0.4,13.0,12.4,11.3,12.4,39.7,0.058,3.8,2.9,1.0,4.44,2.55,1.89
Bilal Coulibaly,WAS,59,13,46,33.0,13612.8,2.58,1.35,1.22,4.38,4.65,4.12,4.15,2.17,1.96,7.05,7.48,6.63,20,118.3,3.4,9.8,15.1,1.3,24.0,0.7,18.6,14.4,11.2,11.9,37.4,0.043,0.3,-0.6,0.9,4.53,2.37,2.14
Zach LaVine,SAC,74,32,42,35.2,14064.5,2.66,1.44,1.22,4.26,4.64,3.88,4.28,2.32,1.96,6.86,7.47,6.24,30,116.8,4.0,10.7,15.5,0.8,15.6,0.2,5.4,12.6,10.4,11.8,39.3,0.062,5.1,3.7,1.4,4.38,2.37,2.0
Trey Murphy III,NOP,53,14,39,35.0,13772.9,2.61,1.39,1.22,4.17,4.46,3.88,4.2,2.24,1.96,6.71,7.18,6.24,25,118.7,4.2,11.7,18.2,1.1,17.3,0.7,18.8,13.8,11.7,13.8,38.5,0.041,3.5,3.0,0.5,4.32,2.3,2.02
OG Anunoby,NYK,74,45,29,36.6,13340.0,2.53,1.31,1.21,3.92,3.93,3.91,4.07,2.11,1.95,6.31,6.32,6.29,27,112.3,3.5,9.8,14.7,1.5,24.3,0.9,28.1,11.1,9.6,11.3,36.6,0.109,6.5,3.7,2.8,4.0,2.08,1.92
Scottie Barnes,TOR,65,26,39,32.8,13391.1,2.54,1.33,1.21,4.32,4.72,3.94,4.09,2.14,1.95,6.95,7.6,6.34,23,110.1,6.0,17.6,26.6,1.4,26.2,1.0,32.0,11.6,9.3,10.2,32.4,0.121,3.5,0.6,2.9,4.49,2.35,2.14
Jamal Murray,DEN,67,41,26,36.1,13824.0,2.62,1.42,1.2,4.14,4.52,3.77,4.22,2.29,1.93,6.66,7.27,6.07,28,115.5,3.2,8.4,12.7,1.4,23.8,0.5,14.4,12.5,11.0,12.2,39.6,0.075,6.2,4.6,1.6,4.21,2.28,1.92
Jaden McDaniels,MIN,82,49,33,31.9,13061.5,2.47,1.28,1.2,4.36,4.47,4.25,3.98,2.06,1.93,7.02,7.19,6.84,24,109.9,4.2,12.6,18.6,1.3,25.5,0.9,27.2,11.3,8.7,9.9,31.2,0.118,6.3,2.3,3.9,4.49,2.32,2.18
RJ Barrett,TOR,58,23,35,32.2,13322.7,2.52,1.34,1.19,4.37,4.78,3.99,4.06,2.16,1.92,7.03,7.69,6.42,25,113.4,5.3,15.9,23.9,0.8,15.6,0.3,11.5,12.4,9.6,10.5,33.0,0.088,2.4,0.6,1.7,4.54,2.41,2.15
Tyrese Haliburton,IND,73,46,27,33.6,13763.3,2.61,1.42,1.19,4.36,4.88,3.86,4.2,2.29,1.92,7.02,7.85,6.21,25,114.2,3.0,8.7,13.2,1.4,26.4,0.7,16.8,10.4,9.9,8.7,37.1,0.082,10.4,8.1,2.3,4.5,2.45,2.06
Trae Young,ATL,76,36,40,36.0,13808.4,2.62,1.43,1.18,4.05,4.64,3.51,4.22,2.3,1.9,6.52,7.47,5.65,26,114.6,2.6,7.2,11.0,1.2,16.3,0.2,4.1,14.1,10.7,12.7,39.1,0.086,5.7,4.4,1.3,4.22,2.3,1.9
Franz Wagner,ORL,60,33,27,33.7,14117.8,2.67,1.5,1.18,4.43,4.84,4.01,4.3,2.41,1.9,7.13,7.79,6.45,23,105.8,4.8,14.6,21.4,1.3,19.4,0.4,8.5,10.6,8.3,9.5,30.8,0.166,5.6,2.6,3.1,4.59,2.57,2.03
Amen Thompson,HOU,69,43,26,32.3,13219.9,2.5,1.32,1.18,4.33,4.55,4.11,4.02,2.12,1.9,6.97,7.32,6.61,22,107.9,5.4,15.9,24.4,1.4,24.1,1.3,34.6,10.2,9.4,8.7,32.9,0.139,8.0,4.1,3.9,4.48,2.36,2.12
Gradey Dick,TOR,54,15,39,29.4,12735.6,2.41,1.25,1.17,4.59,4.89,4.3,3.88,2.01,1.88,7.39,7.87,6.92,21,116.1,2.8,9.2,14.2,0.9,19.8,0.2,6.8,11.4,9.1,10.3,31.6,0.057,1.4,0.2,1.2,4.75,2.46,2.3
Cade Cunningham,DET,70,38,32,35.0,14101.9,2.67,1.5,1.17,4.29,4.87,3.73,4.3,2.41,1.88,6.9,7.84,6.0,23,112.2,5.3,14.7,21.3,1.0,17.2,0.8,19.9,12.8,10.0,10.6,33.3,0.107,5.9,3.0,2.9,4.42,2.48,1.93
Kyrie Irving,DAL,50,28,22,36.1,13231.0,2.51,1.34,1.17,3.9,4.18,3.63,4.04,2.16,1.88,6.28,6.73,5.84,33,113.9,3.6,9.3,14.8,1.3,21.8,0.5,9.9,13.0,12.1,10.2,38.5,0.091,4.6,3.4,1.3,4.03,2.15,1.87
Rudy Gobert,MIN,72,43,29,33.2,13043.7,2.47,1.3,1.17,4.19,4.34,4.03,3.98,2.09,1.88,6.74,6.98,6.49,33,107.6,7.2,21.0,31.0,0.8,14.1,1.4,40.6,12.4,9.4,10.0,30.6,0.144,10.1,6.1,4.0,4.32,2.27,2.04
Pascal Siakam,IND,78,47,31,32.7,12944.9,2.45,1.28,1.17,4.2,4.52,3.9,3.94,2.06,1.88,6.76,7.27,6.28,31,108.9,5.2,15.4,23.3,0.9,15.3,0.5,15.5,9.6,9.4,7.6,33.1,0.13,7.5,5.0,2.5,4.34,2.27,2.07
DeMar DeRozan,SAC,77,38,39,35.9,13430.1,2.54,1.39,1.16,3.97,4.33,3.62,4.09,2.24,1.87,6.39,6.97,5.83,35,115.3,3.2,9.0,13.1,0.8,14.6,0.4,13.4,11.8,9.9,10.2,35.1,0.077,7.1,5.7,1.4,4.1,2.25,1.88
Damian Lillard,MIL,58,32,26,36.1,13873.2,2.63,1.46,1.16,4.1,4.56,3.63,4.23,2.35,1.87,6.6,7.34,5.84,34,114.6,4.2,10.8,15.6,1.2,24.9,0.2,4.8,12.3,9.8,12.2,36.2,0.085,7.6,5.6,2.0,4.22,2.34,1.86
Devin Booker,PHX,75,35,40,37.3,14000.7,2.65,1.49,1.16,4.0,4.33,3.65,4.26,2.4,1.87,6.44,6.97,5.87,28,118.5,3.1,8.0,12.2,0.9,16.8,0.2,6.1,13.2,10.9,13.2,38.1,0.046,6.4,6.1,0.3,4.11,2.32,1.8
Desmond Bane,ORL,69,38,31,32.0,13243.2,2.51,1.35,1.16,4.46,4.97,3.97,4.04,2.17,1.87,7.18,8.0,6.39,27,113.3,5.2,15.0,22.8,1.2,20.5,0.4,11.4,13.3,10.0,10.8,31.5,0.094,6.5,4.0,2.6,4.54,2.44,2.1
CJ McCollum,NOP,56,17,39,32.7,13678.0,2.59,1.43,1.16,4.44,4.92,3.95,4.17,2.3,1.87,7.15,7.92,6.36,33,119.4,3.0,9.1,14.1,0.8,14.3,0.4,10.8,12.4,11.2,11.8,36.2,0.032,1.5,1.3,0.2,4.59,2.53,2.06
Michael Porter Jr.,DEN,77,47,30,33.7,12520.3,2.37,1.21,1.16,4.01,4.17,3.85,3.81,1.95,1.87,6.45,6.71,6.2,27,115.4,5.2,14.6,22.0,0.6,11.9,0.5,14.3,12.5,10.2,12.3,37.4,0.071,6.4,4.6,1.8,4.07,2.08,2.0
Nikola Jokić,DEN,70,46,24,36.7,13128.7,2.49,1.34,1.15,3.79,4.23,3.38,4.01,2.16,1.85,6.1,6.81,5.44,30,115.1,9.9,25.2,37.7,1.8,29.5,0.6,19.4,12.6,10.7,11.8,39.1,0.082,16.4,12.7,3.8,3.93,2.12,1.81
Andrew Nembhard,IND,65,44,21,28.9,12245.3,2.32,1.17,1.15,4.49,4.7,4.29,3.73,1.88,1.85,7.23,7.56,6.9,25,110.2,2.8,9.3,14.1,1.2,23.1,0.2,5.2,8.9,8.2,7.4,30.8,0.105,2.8,1.1,1.7,4.65,2.34,2.3
Jerami Grant,POR,47,22,25,32.4,12511.2,2.37,1.22,1.15,4.1,4.25,3.96,3.81,1.96,1.85,6.6,6.84,6.37,31,113.4,2.9,8.8,13.6,0.9,16.1,1.0,23.1,13.0,10.1,11.6,31.1,0.087,1.8,0.6,1.2,4.23,2.18,2.06
Jalen Williams,OKC,69,55,14,32.4,13391.3,2.54,1.39,1.15,4.4,4.97,3.86,4.09,2.24,1.85,7.08,8.0,6.21,24,106.5,4.5,13.1,20.1,1.6,21.0,0.7,16.8,8.8,10.2,8.6,29.5,0.154,7.8,3.7,4.1,4.54,2.49,2.06
Victor Wembanyama,SAS,46,21,25,33.2,12792.5,2.42,1.27,1.15,4.09,4.33,3.86,3.89,2.04,1.85,6.58,6.97,6.21,21,110.0,9.2,25.5,38.9,1.1,21.4,3.8,74.9,11.5,10.3,10.7,31.4,0.122,3.8,1.0,2.8,4.22,2.21,2.01
Karl-Anthony Towns,NYK,72,46,26,35.0,12602.3,2.39,1.24,1.14,3.87,3.89,3.85,3.85,2.0,1.83,6.23,6.26,6.2,29,112.7,9.8,28.4,42.3,1.0,17.4,0.7,28.1,10.3,9.0,10.1,36.3,0.103,10.1,6.3,3.8,3.96,2.06,1.88
Anthony Edwards,MIN,79,48,31,36.3,13441.4,2.55,1.41,1.14,3.92,4.3,3.54,4.1,2.27,1.83,6.31,6.92,5.7,23,111.4,4.9,13.1,19.7,1.2,19.9,0.6,16.7,13.2,9.8,11.0,36.0,0.118,8.4,4.6,3.8,4.07,2.25,1.81
Coby White,CHI,74,35,39,33.1,13081.5,2.48,1.33,1.14,4.19,4.69,3.73,3.99,2.14,1.83,6.74,7.55,6.0,25,113.9,3.4,9.5,13.8,0.9,17.9,0.2,7.0,12.6,9.5,10.0,37.4,0.085,4.5,3.0,1.5,4.34,2.33,1.99
Austin Reaves,LAL,73,46,27,34.9,13575.4,2.57,1.43,1.14,4.13,4.51,3.74,4.14,2.3,1.83,6.65,7.26,6.02,27,113.3,3.7,10.1,15.2,1.1,20.1,0.3,9.7,12.2,10.3,12.7,36.6,0.096,7.6,5.6,2.1,4.27,2.37,1.89
Fred VanVleet,HOU,60,41,19,35.2,13525.1,2.56,1.42,1.14,4.08,4.44,3.71,4.12,2.29,1.83,6.57,7.15,5.97,31,108.8,3.2,8.9,13.3,1.6,25.1,0.4,12.1,10.0,9.7,8.6,35.2,0.14,5.2,2.4,2.8,4.21,2.34,1.87
Anfernee Simons,POR,70,28,42,32.7,13169.9,2.49,1.35,1.14,4.27,4.68,3.87,4.01,2.17,1.83,6.87,7.53,6.23,26,113.4,2.3,6.9,10.8,0.9,16.1,0.1,2.0,12.0,10.2,11.6,32.1,0.088,4.2,2.9,1.2,4.41,2.39,2.01
Jaylen Brown,BOS,63,46,17,34.3,12618.9,2.39,1.26,1.13,3.99,4.11,3.86,3.85,2.03,1.82,6.42,6.61,6.21,28,111.7,4.5,12.6,18.5,1.2,24.0,0.3,7.4,9.7,9.1,10.5,33.7,0.111,5.2,2.3,2.9,4.04,2.13,1.91
Bam Adebayo,MIA,78,36,42,34.3,12712.9,2.41,1.27,1.13,3.94,4.12,3.75,3.88,2.04,1.82,6.34,6.63,6.04,27,110.8,7.2,21.4,30.7,1.3,22.0,0.7,28.0,11.0,8.5,9.9,33.3,0.117,7.5,3.5,4.0,4.07,2.14,1.91
Josh Green,CHA,68,17,51,27.8,11982.4,2.27,1.14,1.13,4.6,4.57,4.62,3.65,1.83,1.82,7.4,7.35,7.44,24,114.2,1.7,6.0,9.0,1.1,24.3,0.2,8.4,11.0,7.6,9.0,27.9,0.069,1.5,0.4,1.0,4.73,2.37,2.36
Rui Hachimura,LAL,59,37,22,31.7,12614.3,2.39,1.26,1.13,4.24,4.39,4.09,3.85,2.03,1.82,6.82,7.07,6.58,27,110.9,3.7,11.1,16.4,0.8,15.8,0.4,14.9,10.4,9.0,10.3,32.0,0.109,4.3,2.8,1.5,4.37,2.31,2.07
P.J. Washington,DAL,57,31,26,32.2,12664.3,2.4,1.27,1.13,4.19,4.46,3.91,3.86,2.04,1.82,6.74,7.18,6.29,26,113.2,6.3,18.3,27.6,1.1,21.2,1.1,24.7,11.5,9.8,10.7,34.7,0.09,2.4,0.3,2.1,4.32,2.28,2.03
Shaedon Sharpe,POR,72,32,40,31.3,12591.1,2.38,1.27,1.12,4.28,4.56,4.0,3.83,2.04,1.8,6.89,7.34,6.44,22,114.4,3.6,11.4,17.6,0.9,16.4,0.2,6.6,12.1,9.3,11.3,32.9,0.075,3.0,1.3,1.7,4.41,2.35,2.07
Jalen Brunson,NYK,65,40,25,35.4,13937.1,2.64,1.52,1.12,4.23,4.65,3.76,4.25,2.45,1.8,6.81,7.48,6.05,28,115.7,2.5,7.2,10.9,0.9,16.3,0.1,4.7,11.4,9.4,11.4,37.0,0.071,8.3,6.8,1.4,4.32,2.49,1.83
Jalen Green,HOU,82,52,30,32.9,13259.0,2.51,1.39,1.12,4.27,4.65,3.88,4.04,2.24,1.8,6.87,7.48,6.24,23,111.1,4.0,12.0,18.0,0.9,15.3,0.3,10.3,11.4,9.4,9.9,34.9,0.111,5.1,1.9,3.2,4.42,2.45,1.97
Jakob Poeltl,TOR,57,21,36,29.6,12184.8,2.31,1.19,1.12,4.37,4.66,4.1,3.72,1.92,1.8,7.03,7.5,6.6,29,111.9,6.3,20.6,30.4,1.2,22.8,1.2,42.8,11.6,8.2,9.1,29.8,0.093,5.5,3.0,2.5,4.52,2.34,2.19
Shai Gilgeous-Alexander,OKC,76,63,13,34.2,12923.5,2.45,1.33,1.12,4.0,4.43,3.59,3.94,2.14,1.8,6.44,7.13,5.78,26,105.7,4.1,11.2,16.9,1.7,23.0,1.0,23.1,8.6,10.9,8.6,30.2,0.168,16.7,11.9,4.8,4.15,2.25,1.89
Dillon Brooks,HOU,75,49,26,31.8,12064.1,2.28,1.17,1.12,4.02,4.06,3.98,3.67,1.88,1.8,6.47,6.53,6.41,29,108.8,2.7,8.1,12.1,0.8,14.7,0.2,7.0,9.7,9.2,8.8,32.7,0.127,5.1,2.7,2.5,4.15,2.13,2.04
Jimmy Butler III,GSW,55,36,19,31.8,12635.5,2.39,1.28,1.11,4.22,4.4,4.03,3.85,2.06,1.79,6.79,7.08,6.49,35,109.6,3.1,10.1,14.7,1.4,22.8,0.3,12.1,10.1,8.2,10.1,31.2,0.119,,,,4.36,2.33,2.03
Derrick White,BOS,76,58,18,33.9,12761.4,2.42,1.31,1.11,4.01,4.22,3.79,3.89,2.11,1.79,6.45,6.79,6.1,30,109.5,3.6,10.1,14.9,0.9,20.3,1.1,26.1,9.3,9.3,10.2,33.1,0.13,8.5,5.1,3.4,4.13,2.24,1.9
Kevin Durant,PHX,62,33,29,36.5,12839.9,2.43,1.32,1.11,3.74,3.9,3.56,3.91,2.12,1.79,6.02,6.28,5.73,36,117.4,5.7,14.7,22.0,0.8,15.8,1.2,33.9,14.3,10.6,13.0,36.8,0.057,5.2,4.0,1.2,3.86,2.09,1.77
Ochai Agbaji,TOR,64,19,45,27.2,11776.6,2.23,1.12,1.11,4.58,4.82,4.37,3.59,1.8,1.79,7.37,7.76,7.03,25,112.2,2.8,9.8,14.9,0.9,20.9,0.5,19.6,11.0,8.3,9.1,27.7,0.083,3.1,1.6,1.5,4.75,2.38,2.37
Josh Giddey,CHI,70,33,37,30.2,12582.6,2.38,1.27,1.11,4.47,5.0,4.0,3.83,2.04,1.79,7.19,8.05,6.44,22,114.4,6.3,19.2,28.1,1.2,25.3,0.6,22.2,11.4,9.0,9.7,35.3,0.073,5.3,2.8,2.5,4.57,2.43,2.13
Paolo Banchero,ORL,46,21,25,34.4,13142.3,2.49,1.38,1.11,4.05,4.31,3.77,4.01,2.22,1.79,6.52,6.94,6.07,22,109.6,6.4,19.2,28.4,0.8,13.3,0.6,16.7,12.2,8.9,10.5,33.1,0.13,3.5,1.1,2.4,4.2,2.32,1.87
Bennedict Mathurin,IND,72,43,29,29.9,12104.0,2.29,1.18,1.11,4.3,4.57,4.04,3.69,1.9,1.79,6.92,7.35,6.5,23,112.2,4.1,13.3,19.9,0.7,13.1,0.3,9.7,10.3,8.6,7.5,31.7,0.091,3.0,1.3,1.8,4.44,2.29,2.16
Ayo Dosunmu,CHI,46,17,29,30.3,12460.6,2.36,1.25,1.11,4.37,4.79,3.97,3.8,2.01,1.79,7.03,7.71,6.39,25,117.8,2.9,9.0,13.4,0.9,21.8,0.4,14.2,11.6,10.2,9.8,36.0,0.043,2.5,1.6,1.0,4.51,2.39,2.13
Malik Monk,SAC,65,36,29,31.6,12899.8,2.44,1.35,1.1,4.33,4.85,3.82,3.93,2.17,1.77,6.97,7.81,6.15,27,114.5,3.3,10.4,15.4,0.9,18.6,0.6,20.4,10.8,9.1,8.6,31.9,0.077,2.8,1.3,1.4,4.48,2.47,2.02
Tobias Harris,DET,73,40,33,31.6,12318.9,2.33,1.23,1.1,4.14,4.38,3.89,3.75,1.98,1.77,6.66,7.05,6.26,32,110.8,5.0,15.5,22.4,1.0,20.3,0.8,21.7,11.6,8.5,9.9,29.6,0.109,5.2,2.3,2.9,4.27,2.26,2.02
Ja Morant,MEM,50,30,20,30.4,12306.4,2.33,1.23,1.1,4.36,4.81,3.95,3.75,1.98,1.77,7.02,7.74,6.36,25,109.6,3.4,10.1,15.4,1.2,21.0,0.2,7.5,12.4,8.7,10.1,30.3,0.117,3.5,2.0,1.5,4.44,2.34,2.1
Giannis Antetokounmpo,MIL,67,40,27,34.2,12812.4,2.43,1.33,1.1,4.0,4.43,3.58,3.91,2.14,1.77,6.44,7.13,5.76,30,111.7,9.7,26.6,38.7,0.9,16.9,1.2,33.3,11.0,9.1,10.8,32.5,0.109,11.5,7.8,3.7,4.12,2.25,1.86
Bub Carrington,WAS,82,18,64,30.0,12495.9,2.37,1.27,1.1,4.43,4.77,4.1,3.81,2.04,1.77,7.13,7.68,6.6,19,118.0,3.8,11.7,18.1,0.7,14.6,0.3,7.9,12.3,9.9,11.2,33.2,0.041,0.2,-0.4,0.6,4.57,2.45,2.12
Bradley Beal,PHX,53,22,31,32.1,12588.5,2.38,1.29,1.1,4.16,4.32,3.98,3.83,2.08,1.77,6.69,6.95,6.41,32,118.6,2.7,8.3,12.4,1.1,21.6,0.5,15.8,12.3,8.5,12.5,31.6,0.039,2.4,1.9,0.6,4.3,2.33,1.99
Evan Mobley,CLE,71,58,13,30.5,12177.9,2.31,1.21,1.09,4.22,4.7,3.8,3.72,1.95,1.75,6.79,7.56,6.12,24,108.6,7.0,21.3,32.2,0.9,16.4,1.6,52.3,10.1,8.6,8.9,28.5,0.126,9.0,5.3,3.8,4.39,2.3,2.07
Myles Turner,IND,72,44,28,30.2,11887.9,2.25,1.16,1.09,4.19,4.47,3.93,3.62,1.87,1.75,6.74,7.19,6.32,29,111.5,5.3,16.9,25.2,0.8,15.9,2.0,54.8,9.7,8.7,7.1,31.6,0.097,4.7,1.8,2.9,4.32,2.23,2.09
Devin Vassell,SAS,64,24,40,31.0,12509.4,2.37,1.28,1.09,4.29,4.68,3.91,3.81,2.06,1.75,6.9,7.53,6.29,24,118.1,3.5,10.7,16.9,1.3,24.3,0.5,14.7,11.6,10.1,9.7,33.7,0.042,2.2,0.9,1.3,4.42,2.39,2.03
LaMelo Ball,CHA,47,16,31,32.0,13242.4,2.51,1.42,1.09,4.39,4.91,3.85,4.04,2.29,1.75,7.07,7.9,6.2,23,116.5,3.9,12.1,18.1,1.1,21.3,0.3,9.0,11.8,8.7,10.9,31.9,0.059,2.0,0.9,1.1,4.54,2.58,1.97
Lauri Markkanen,UTA,47,9,38,31.4,12669.8,2.4,1.31,1.09,4.27,4.5,4.02,3.86,2.11,1.75,6.87,7.24,6.47,28,117.5,4.4,13.4,19.6,0.7,17.3,0.4,12.0,13.8,8.9,12.1,32.1,0.047,2.2,1.8,0.3,4.43,2.42,2.01
Norman Powell,LAC,60,39,21,32.6,12549.3,2.38,1.3,1.08,4.08,4.42,3.74,3.83,2.09,1.74,6.57,7.11,6.02,32,107.4,2.8,8.5,12.2,1.2,18.8,0.2,5.1,11.7,7.9,10.1,31.0,0.146,5.3,2.9,2.3,4.23,2.31,1.92
Ivica Zubac,LAC,80,50,30,32.8,12092.5,2.29,1.21,1.08,3.93,4.1,3.77,3.69,1.95,1.74,6.32,6.6,6.07,28,107.1,8.9,27.1,38.3,0.7,10.4,1.1,40.4,12.1,8.0,10.2,30.9,0.147,11.7,7.0,4.7,4.05,2.14,1.91
Miles Bridges,CHA,64,16,48,31.7,12484.3,2.36,1.29,1.08,4.19,4.55,3.82,3.8,2.08,1.74,6.74,7.32,6.15,27,113.6,6.4,18.9,28.2,0.7,14.9,0.7,23.2,12.0,8.9,11.1,32.3,0.085,3.2,1.3,1.8,4.32,2.36,1.98
Julius Randle,MIN,69,44,25,32.3,12202.9,2.31,1.23,1.08,4.01,4.23,3.79,3.72,1.98,1.74,6.45,6.81,6.1,30,111.6,5.0,14.9,22.4,0.7,13.4,0.2,7.2,12.2,9.0,10.3,34.0,0.103,6.2,3.6,2.6,4.15,2.21,1.94
Nikola Vučević,CHI,73,34,39,31.2,11573.0,2.19,1.13,1.07,3.95,4.21,3.72,3.52,1.82,1.72,6.36,6.78,5.99,34,116.0,7.6,22.8,32.7,0.8,17.5,0.7,26.1,12.0,9.4,10.3,37.2,0.061,7.3,4.7,2.6,4.06,2.1,1.98
Jaylen Wells,MEM,79,47,32,25.9,10959.2,2.08,1.01,1.07,4.55,4.54,4.55,3.35,1.63,1.72,7.32,7.31,7.32,21,111.9,2.3,8.3,12.2,0.6,12.5,0.1,3.5,10.4,7.5,9.0,25.6,0.081,3.5,2.1,1.4,4.66,2.27,2.39
Luka Dončić,LAL,50,31,19,35.4,12398.2,2.35,1.28,1.07,3.73,4.05,3.41,3.78,2.06,1.72,6.0,6.52,5.49,26,110.5,7.4,19.8,29.9,1.8,28.5,0.4,12.1,12.1,9.6,12.1,34.0,0.126,5.9,3.5,2.4,3.84,2.09,1.75
Jayson Tatum,BOS,72,53,19,36.4,12357.6,2.34,1.27,1.07,3.65,3.85,3.43,3.77,2.04,1.72,5.87,6.2,5.52,27,109.8,8.0,20.6,31.3,1.1,19.7,0.5,12.7,10.1,9.7,10.8,36.0,0.137,9.5,5.3,4.2,3.73,2.02,1.7
Darius Garland,CLE,75,60,15,30.7,12249.0,2.32,1.25,1.07,4.25,4.72,3.8,3.73,2.01,1.72,6.84,7.6,6.12,25,113.4,2.2,6.8,10.4,1.2,22.4,0.1,6.0,10.6,9.0,10.8,31.3,0.083,8.1,5.8,2.3,4.37,2.36,2.02
Walker Kessler,UTA,58,14,44,30.0,12112.2,2.29,1.23,1.07,4.28,4.41,4.14,3.69,1.98,1.72,6.89,7.1,6.66,23,118.3,7.6,23.5,34.6,0.6,17.6,2.4,68.7,14.2,9.7,13.2,30.9,0.038,5.4,3.6,1.8,4.43,2.38,2.06
Cameron Johnson,BKN,57,21,36,31.6,12753.5,2.42,1.35,1.07,4.27,4.6,3.92,3.89,2.17,1.72,6.87,7.4,6.31,29,116.7,3.4,11.3,17.3,0.9,19.2,0.4,16.0,12.3,8.5,11.4,32.9,0.055,5.1,3.8,1.3,4.43,2.47,1.96
Paul George,PHI,41,15,26,32.5,12500.8,2.37,1.3,1.06,4.06,4.43,3.68,3.81,2.09,1.71,6.53,7.13,5.92,35,112.2,4.8,15.3,23.2,1.8,25.6,0.5,18.9,11.3,8.7,10.1,31.5,0.099,1.0,-0.2,1.2,4.22,2.32,1.89
Andrew Wiggins,MIA,60,27,33,30.7,12021.0,2.28,1.22,1.06,4.17,4.51,3.84,3.67,1.96,1.71,6.71,7.26,6.18,30,111.7,3.0,9.5,14.0,1.0,18.9,0.8,28.1,11.0,7.9,9.6,29.6,0.1,4.0,1.9,2.1,4.3,2.3,2.01
Jabari Smith Jr.,HOU,57,40,17,30.1,11866.8,2.25,1.19,1.06,4.18,4.35,4.0,3.62,1.92,1.71,6.73,7.0,6.44,22,106.1,5.2,16.2,23.0,0.4,9.6,0.7,23.2,10.2,7.4,8.8,29.6,0.145,4.2,1.9,2.2,4.33,2.3,2.05
